,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
510,RC-1681 - Clapper,Egyptian,18TH,1570-1293 BCE,New Kingdom,Ivory,Musical Instruments,1036.jpg
511,RC-1682 - Cosmetic Spoon,Egyptian,18TH,1400 BCE,New Kingdom,Wood,Toiletries,250.jpg
512,RC-1684 - Offering Table,Egyptian,5TH,2524-2400 BCE,Old Kingdom,Limestone,Ritual Objects,885.jpg
513,RC-1686 - Flute,Egyptian,,332-31 BCE,Ptolemaic,Bronze,Musical Instruments,540.jpg
514,RC-1688 - Textile Fragment,Egyptian,,400 CE,Coptic/Byzantine,Linen,Textiles,567.jpg
515,RC-1691 - Tomb Figure,Egyptian,11 - 12 TH,2134 - 1785 BCE,Middle Kingdom,Wood,Funerary,426.jpg
516,RC-1692 - Canopic Lid,Egyptian,,332 - 30 BCE,Ptolemaic,Limestone,Vessels,767.jpg
517,RC-1694 - Gecko on Case,Egyptian,12TH,1991 - 1782 BCE,Middle Kingdom,Bronze,Sculpture,639.jpg
518,RC-1696 - Taurt,Egyptian,,"4,000 - 3050 BCE",Predynastic,Limestone,Sculpture,879.jpg
519,RC-1697 - Taurt,Egyptian,,"4,000 - 3050 BCE",Predynastic,Limestone,Sculpture,238.jpg
520,RC-1704 - Bes Jar,Egyptian,,,3rd Int. Or Later,Clay,Vessels,362.jpg
521,RC-1705 - Bes Jar,Egyptian,,,3rd Int. Or Later,Clay,Vessels,743.jpg
522,RC-1706 - Jar,Egyptian,,,,Terracotta,Vessels,617.jpg
523,RC-1707 - Jar,Egyptian,,,,Clay,Vessels,761.jpg
524,RC-1710 - Mask/ Coffin Fragment,Egyptian,18TH,1500 BCE,New Kingdom,Terra Cotta,Funerary,409.jpg
525,RC-1711 - Head,Egyptian,,,,Clay,Funerary,794.jpg
526,RC-1715 - Chair,Egyptian,18TH,1370-1350 BCE,Amarna,Ebony,Furniture,459.jpg
527,RC-1716 - Dagger with Fish Handle,Mesopotamian,,1000 - 800 BCE,,Bronze,Persian,918.jpg
528,RC-1720 - Pharaoh Relief Fragment,Egyptian,19TH,1293-1185 BCE,New Kingdom,Limestone,Epigraphy,346.jpg
529,RC-1721 - Toutou-Tithoes Relief Fragment,Egyptian,,0 - 100 CE,Late Roman Period,Limestone,Epigraphy,667.jpg
530,RC-1722 - Akhenaten Torso Relief Frag,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Epigraphy,486.jpg
531,RC-1724 - Swimming Cattle Relief,Egyptian,5-6th,2195-2066 BCE,Old Kingdom,Limestone,Epigraphy,395.jpg
532,RC-1725 - Aton Symbol Relief Fragment,Egyptian,18TH,1580 - 1350 BCE,New Kingdom,Limestone,Epigraphy,266.jpg
533,RC-1726 - Pyramidion,Egyptian,18TH,1991 - 1782 BCE,New Kingdom,Limestone,Epigraphy,841.jpg
534,RC-1728 - Stele,Egyptian,25TH,712-656 BCE,3rd Intermediate,Limestone,Funerary,615.jpg
535,RC-1731 - Sistrum,Egyptian,,332-31 BCE,Ptolemaic,Glazed Faience,Musical Instruments,110.jpg
536,RC-1733 - Male Portrait Relief Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Epigraphy,224.jpg
537,RC-1734 - Aton and Gazelles Relief Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Epigraphy,551.jpg
538,RC-1735 - Offering Door of Henuti,Egyptian,6TH,Dynasty 5,Old Kingdom,Limestone,Funerary,814.jpg
539,RC-1736 - Seated Germa,Egyptian,26TH,588 - 568 BCE,3rd Intermediate,Limestone,Sculpture,1013.jpg
540,RC-1737 - Shedy-Ptah Relief Fragment,Egyptian,6TH,2400-2250? BCE,Old Kingdom,Limestone,Sculpture,131.jpg
541,RC-1741 - Offering Scene Relief Fragment,Egyptian,18TH,1253 - 35 BCE,Amarna,Sandstone,Epigraphy,231.jpg
542,RC-1743 - Osiris,Egyptian,,,,Bronze,Sculpture,345.jpg
543,RC-1744 - Romano Male Bust,Egyptian,,250 - 270 CE,Greco-Roman,Limestone,Sculpture,719.jpg
544,RC-1745 - Romano-Egyptian Vessel,Egyptian,,00 - 99 CE,Greco-Roman,Faience,Vessels,255.jpg
545,RC-1749 - Business Letter,Mesopotamian,,2004 - 1400 BCE,Old Assyrian,Clay,Assyrian,152.jpg
546,RC-1750 - Palette,Egyptian,,4000 BCE,Predynastic,Slate,Writing Materials,321.jpg
547,RC-1755 - Pharaoh Head,Egyptian,,1570 BCE - 323 CE,New Kingdom Or Later,Sandstone,Sculpture,1014.jpg
548,RC-1756 - Takelot Iii Relief Fragment,Egyptian,,304-30 BCE,Ptolemaic,Limestone,Sculpture,366.jpg
549,RC-1758 - Roman-Egyptian Bowl,Egyptian,,0 - 199 CE,Greco-Roman,Banded Calcite,Vessels,581.jpg
